MODEL,MAKE,MODEL,VEHICLE CLASS,ENGINE_SIZE,CYLINDERS,TRANSMISSION,FUEL,FUEL_CONSUMPTION*,,,,CO2_EMISSIONS
2001,ACURA,1.7EL,COMPACT,1.7,4,A4,X,9.3,7.2,8.3,34,191
2001,ACURA,1.7EL,COMPACT,1.7,4,M5,X,8.9,7.4,8.3,34,191
2001,ACURA,3.2CL,COMPACT,3.2,6,AS5,Z,13.7,8.8,11.5,25,265
2001,ACURA,3.2TL,MID-SIZE,3.2,6,AS5,Z,13.8,8.8,11.6,24,267
2001,ACURA,3.5RL,MID-SIZE,3.5,6,A4,Z,15,10.9,13.1,22,301
2001,ACURA,INTEGRA,SUBCOMPACT,1.8,4,A4,X,11.4,8.5,10.1,28,232
2001,ACURA,INTEGRA,SUBCOMPACT,1.8,4,M5,X,10.6,8.3,9.6,29,221
2001,ACURA,INTEGRA GS-R,SUBCOMPACT,1.8,4,M5,Z,10.8,8.5,9.7,29,223
2001,ACURA,MDX,SUV,3.5,6,A5,Z,15.5,11.1,13.5,21,311
2001,ACURA,NSX,TWO-SEATER,3,6,AS4,Z,15.3,10.9,13.3,21,306
2001,ACURA,NSX,TWO-SEATER,3.2,6,M6,Z,15.6,10.7,13.4,21,308
2001,AUDI,A4,COMPACT,1.8,4,A5,Z,13.2,9,11.3,25,260
2001,AUDI,A4,COMPACT,1.8,4,M5,Z,11.8,8.1,10.1,28,232
2001,AUDI,A4,COMPACT,2.8,6,A5,Z,14.6,9.7,12.4,23,285
2001,AUDI,A4 QUATTRO,COMPACT,1.8,4,A5,Z,13.3,9.4,11.5,25,265
2001,AUDI,A4 QUATTRO,COMPACT,1.8,4,M5,Z,12.2,8.6,10.6,27,244
2001,AUDI,A4 QUATTRO,COMPACT,2.8,6,A5,Z,14.9,10.1,12.7,22,292
2001,AUDI,A4 QUATTRO,COMPACT,2.8,6,M5,Z,14.3,10.3,12.5,23,288
2001,AUDI,A6,MID-SIZE,2.8,6,A5,Z,15,10.2,12.8,22,294
2001,AUDI,A6 AVANT QUATTRO WAGON,STATION WAGON - MID-SIZE,2.8,6,A5,Z,15.4,10.7,13.3,21,306
2001,AUDI,A6 QUATTRO,MID-SIZE,2.7,6,A5,Z,15.2,10.5,13.1,22,301
2001,AUDI,A6 QUATTRO,MID-SIZE,2.7,6,M6,Z,15.2,10.7,13.2,21,304
2001,AUDI,A6 QUATTRO,MID-SIZE,2.8,6,A5,Z,15.4,10.7,13.3,21,306
2001,AUDI,A6 QUATTRO,MID-SIZE,4.2,8,A5,Z,15.4,10.3,13.1,22,301
2001,AUDI,A8 L,FULL-SIZE,4.2,8,A5,Z,15.4,10.3,13.1,22,301
2001,AUDI,A8 QUATTRO,FULL-SIZE,4.2,8,A5,Z,15.4,10.3,13.1,22,301
2001,AUDI,ALLROAD,SUV,2.7,6,A5,Z,17.1,12.3,15,19,345
2001,AUDI,ALLROAD,SUV,2.7,6,M6,Z,16.5,12.2,14.6,19,336
2001,AUDI,S4 QUATTRO,COMPACT,2.7,6,A5,Z,15.2,10.5,13.1,22,301
2001,AUDI,S4 QUATTRO,COMPACT,2.7,6,M6,Z,15.2,10.7,13.2,21,304
2001,AUDI,S8 QUATTRO #,MID-SIZE,4.2,8,A5,Z,17.8,11.9,15.1,19,347
2001,AUDI,TT COUPE QUATTRO,MINICOMPACT,1.8,4,M5,Z,13.1,9,11.3,25,260
2001,AUDI,TT COUPE QUATTRO #,MINICOMPACT,1.8,4,M6,Z,13.1,9.1,11.3,25,260
2001,AUDI,TT ROADSTER,TWO-SEATER,1.8,4,M5,Z,12.3,8.7,10.7,26,246
2001,AUDI,TT ROADSTER QUATTRO #,TWO-SEATER,1.8,4,M6,Z,13.1,9.1,11.3,25,260
2001,BMW,320i,COMPACT,2.2,6,A5,Z,13.1,8.8,11.2,25,258
2001,BMW,320i,COMPACT,2.2,6,M5,Z,12.8,8.6,10.9,26,251
2001,BMW,325Ci,SUBCOMPACT,2.5,6,A5,Z,13.3,9.4,11.5,25,265
2001,BMW,325Ci,SUBCOMPACT,2.5,6,M5,Z,13,8.7,11,26,253
2001,BMW,325Ci CONVERTIBLE,MINICOMPACT,2.5,6,A5,Z,13.7,9.7,11.9,24,274
